Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784241014,10,,Aggregated,0.800000,0.100000,7800,7800,8300,8300,9300,9300,9300,9300,9300,9300,9300,10,1,7500,6577.542773998721,1798.9660419989377,9288.381963000575,5324.9
1784241015,10,POST,/query [on-topic],0.700000,0.100000,7800,8300,8300,8300,9300,9300,9300,9300,9300,9300,9300,8,1,7800,7740.171889123303,6080.913418998534,9288.381963000575,6499.75
1784241015,10,POST,/query [out-of-domain],0.100000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2,0,1800,1927.0263135003916,1798.9660419989377,2055.0865850018454,625.5
1784241015,10,,Aggregated,0.800000,0.100000,7800,7800,8300,8300,9300,9300,9300,9300,9300,9300,9300,10,1,7500,6577.542773998721,1798.9660419989377,9288.381963000575,5324.9
1784241016,10,POST,/query [on-topic],0.800000,0.100000,7800,8300,8300,9300,10000,10000,10000,10000,10000,10000,10000,9,1,7800,8016.713263109624,6080.913418998534,10229.04425500019,6842.444444444444
1784241016,10,POST,/query [out-of-domain],0.100000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2,0,1800,1927.0263135003916,1798.9660419989377,2055.0865850018454,625.5
1784241016,10,,Aggregated,0.900000,0.100000,7800,8300,8300,9300,10000,10000,10000,10000,10000,10000,10000,11,1,7800,6909.497454089764,1798.9660419989377,10229.04425500019,5712.090909090909
1784241017,10,POST,/query [on-topic],0.800000,0.100000,7800,8300,8300,9300,10000,10000,10000,10000,10000,10000,10000,9,1,7800,8016.713263109624,6080.913418998534,10229.04425500019,6842.444444444444
1784241017,10,POST,/query [out-of-domain],0.100000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2,0,1800,1927.0263135003916,1798.9660419989377,2055.0865850018454,625.5
1784241017,10,,Aggregated,0.900000,0.100000,7800,8300,8300,9300,10000,10000,10000,10000,10000,10000,10000,11,1,7800,6909.497454089764,1798.9660419989377,10229.04425500019,5712.090909090909
1784241018,10,POST,/query [on-topic],0.800000,0.100000,7800,8300,8300,9300,10000,10000,10000,10000,10000,10000,10000,9,1,7800,8016.713263109624,6080.913418998534,10229.04425500019,6842.444444444444
1784241018,10,POST,/query [out-of-domain],0.100000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2,0,1800,1927.0263135003916,1798.9660419989377,2055.0865850018454,625.5
1784241018,10,,Aggregated,0.900000,0.100000,7800,8300,8300,9300,10000,10000,10000,10000,10000,10000,10000,11,1,7800,6909.497454089764,1798.9660419989377,10229.04425500019,5712.090909090909
1784241019,10,POST,/query [on-topic],0.800000,0.100000,7800,8300,8300,9300,10000,10000,10000,10000,10000,10000,10000,9,1,7800,8016.713263109624,6080.913418998534,10229.04425500019,6842.444444444444
1784241019,10,POST,/query [out-of-domain],0.100000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2,0,1800,1927.0263135003916,1798.9660419989377,2055.0865850018454,625.5
